ref_id,tax_id,source_name,addnl_id,seq_type,source_reference,source_link,source_filename
1,2593073,Minidiscus spinulatus,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
2,659878,Minidiscus variabilis,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
3,2590921,Minidiscus comicus,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
4,2303173,Thalassiosira sp.,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
5,340022,Thalassiosira minima,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
6,1960173,Minidiscus sp.,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
7,1960170,Minidiscus sp.,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
8,1960195,Thalassiosira sp.,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
9,340022,Thalassiosira minima,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
10,1960171,Minidiscus sp.,,nt,Guajardo 2021,https://zenodo.org/record/4591037,
11,1735746,Stramenopiles sp. TOSAG41-2,Stramenopiles sp. TOSAG41-2,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
12,1735747,Stramenopiles sp. TOSAG23-6,Stramenopiles sp. TOSAG23-6,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
13,1735742,Stramenopiles sp. TOSAG23-1,Stramenopiles sp. TOSAG23-1,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
14,1735743,Stramenopiles sp. TOSAG23-2,Stramenopiles sp. TOSAG23-2,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
15,1735744,Stramenopiles sp. TOSAG41-1,Stramenopiles sp. TOSAG41-1,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
16,1735745,Stramenopiles sp. TOSAG23-3,Stramenopiles sp. TOSAG23-3,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
17,1735748,Chrysophyceae sp. TOSAG23-4,Chrysophyceae sp. TOSAG23-4,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
18,1735749,Chrysophyceae sp. TOSAG23-5,Chrysophyceae sp. TOSAG23-5,aa,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
19,6837,Calanus finmarchicus,PRJNA236528,nt,"Lenz et al., 2014",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA236528,
20,113644,Calanus glacialis,PRJNA237014,nt,"Smolina et al., 2015",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237014,
21,119369,Neocalanus flemingeri,GFUD00000000,nt,"Roncalli et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFUD00000000/,
22,136180,Acartia tonsa,GFWY00000000,nt,"via Maas 2018 (Nilsson et al., unpublished 2017)",https://www.ncbi.nlm.nih.gov/nuccore/GFWY00000000/,
23,88015,Eurytemora affinis,GEAN00000000,nt,"via Maas 2018 (Munro et al., unpublished 2016)",https://www.ncbi.nlm.nih.gov/nuccore/GEAN00000000/,
24,1501138,Labidocera madurae,GFWO00000000,nt,"Roncalli et al., 2017",https://www.ncbi.nlm.nih.gov/nuccore/GFWO00000000/,
25,6832,Tigriopus californicus,GBSZ00000000,nt,"Barreto et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GBSZ00000000/,
26,1133412,Tigriopus kingsejongensis,GDFW01000000,nt,"via Maas 2018 (Lee, unpublished 2015)",https://www.ncbi.nlm.nih.gov/nuccore/GDFW01000000/,
27,158387,Tigriopus japonicus,GCHA00000000,nt,"Kim et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCHA00000000/,
28,565004,Paracyclopina nana,GCJT01000000,nt,"Lee et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCJT01000000/,
29,84317,Eucyclops serrulatus,GARW01000000,nt,"via Maas 2018 (Cattonaro, unpublished 2014)",https://www.ncbi.nlm.nih.gov/nuccore/GARW01000000/,
30,72036,Lepeophtheirus salmonis,HACA00000000,aa,"via Maas 2018 (Carmichael, unpublished 2015)",https://www.ncbi.nlm.nih.gov/nuccore/HACA00000000/,
31,217165,Caligus rogercresseyi,GAZX00000000,nt,"via Maas 2018 (Leong, unpublished 2014)",https://www.ncbi.nlm.nih.gov/nuccore/GAZX00000000/,
32,503034,Pleuromamma xiphias,GFCI00000000,nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFCI00000000/,
33,2041349,Nitzschia sp. strain Nitz4,GIQR00000000,nt,Pendergrass 2020 (unpublished),https://www.ncbi.nlm.nih.gov/nuccore/GIQR00000000/,
34,33658,Phaeocystis globosa CCMP1528,,nt,Brisbin and Mitarai 2018,https://zenodo.org/record/1476491#.Xld54xMzZ24,
35,1764641,Ankylochrysis sp RCC2491,MALI FT191.5 PG1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/17/,
36,44056,Aureococcus anophagefferens RCC96,CCMP1784,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/30/,
37,227086,Bigelowiella natans RCC435,BL_33-3,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/44/,
38,1764863,Bigelowiella sp RCC560,BL_34,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/45/,
39,35677,Pelagomonas calceolata RCC2362,BOUM81-4,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/289/,
40,2565275,Chloroparvula sp_b2 RCC696,IndianOcean_1-1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/68/,
41,464255,Chloroparvula sp_b3 RCC999,biosope_46 C4S,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/69/,
42,1461542,Chloropicon maureeniae CCMP2152,LRF_5,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/73/,
43,2864388,Chloropicon sp CCMP2113,CCMP2113,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/79/,
44,139907,Chroodactylon ramnosum RCC654,SAG 103.79,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/83/,
45,2903,Emiliania huxleyi RCC1253,AC675 syn. OS 2,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/136/,
46,2903,Emiliania huxleyi RCC1857,BOUM77,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/137/,
47,2903,Emiliania huxleyi RCC3782,CHC2,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/138/,
48,35677,Pelagomonas calceolata RCC706,IndianOcean_17-1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/290/,
49,1663125,Gephyrocapsa muellerae RCC3370,CHC184,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/165/,
50,35677,Pelagomonas calceolata RCC981,Biosope_111 C1E,nt,"Niang et al., 2020",,
51,172669,Glossomastix chrysoplasta RCC624,CCMP1537,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/169/,
52,216801,Guinardia flaccida RCC3093,RA120910 P1E1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/175/,
53,1764899,Haslea sp RCC2677,Aka_5A P52.F2,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/181/,
54,296676,Mesopedinella arctica RCC382,PROSOPE_2,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/227/,
55,1606511,Micromonas commoda RCC996,biosope_46 B4S,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/231/,
56,2604711,Minidiscus sp RCC1721,RA080513-10,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/241/,
57,1764896,Navicula sp RCC3092,RA120910 P2A1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/246/,
58,1964564,Ochromonas triangulata RCC21,CHR25,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/255/,
59,464236,Phaeocystis sp RCC908,Biosope_226_FL2-3,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/318/,
60,552666,Partenskyella glossopodia RCC365,PROSOPE_99,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/277/,
61,35677,Pelagomonas calceolata RCC100,CCMP1214,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/288/,
62,1764647,Pelagophyceae_Xxx sp RCC2696,Aka P71.E10,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/295/,
63,33657,Phaeocystis antarctica RCC4023,CCMP1374,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/304/,
64,33657,Phaeocystis antarctica RCC4024,CCMP1871,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/306/,
65,118079,Phaeocystis cordata RCC1383,CCMP2495,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/307/,
66,33658,Phaeocystis globosa RCC739,RIKZ-Graves,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/310/,
67,1631190,Phaeocystis rex RCC678,He001206-D2-B1,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/311/,
68,33658,Phaeocystis sp RCC3537,NIES1396,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/315/,
69,464232,Phaeocystis sp RCC851,Biosope_202,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/316/,
70,464238,Phaeocystis sp RCC935,Biosope_219_FL2-3,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/317/,
71,1764931,Pleurosigma sp RCC3090,RA120910 P1B3,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/326/,
72,1048533,Shionodiscus bioculatus RCC1991,MALINA FT99.3 PG3bis,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/387/,
73,1764925,Synedra sp RCC2510,MALINA S93 P44.D11,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/421/,
74,91992,Triparma pacifica RCC216,OLI 94 SCH,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/452/,
75,91992,Triparma pacifica RCC238,MIN 129-20m Aa,nt,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/453/,
76,1775427,Amoebophrya ceratii AT5.2,,aa,"John U et al., 2019",https://phycocosm.jgi.doe.gov/Amoce1/Amoce1.home.html,
77,702273,Aplanochytrium kerguelense PBS07 v1.0,,aa,hold-unpublished,,
78,717989,Aurantiochytrium limacinum ATCC MYA-1381,,aa,hold-unpublished,,
79,44056,Aureococcus anophagefferens clone 1984,,aa,"Gobler CJ et al., 2011",,
80,1432497,Auxenochlorella protothecoides 0710,,aa,"Gao C et al., 2014",,
81,3075,Auxenochlorella protothecoides UTEX 25,,aa,"Vogler Brian W. et al., 2018",,
82,1075084,Bathycoccus prasinos RCC1105,,aa,"Moreau H et al., 2012",,
83,753081,Bigelowiella natans CCMP2755,,aa,"Curtis BA et al., 2012",,
84,12968,Blastocystis hominis Singapore isolate B (sub-type 7),,aa,"Denoeud F et al., 2011",,
85,1202541,Botryococcus braunii Showa v2.1,,aa,"Browne DR et al., 2017",,
86,2499525,Breviolum minutum,,aa,"Shoguchi E et al., 2013",,
87,148947,Caulerpa lentillifera,,aa,"Arimoto A et al., 2019",,
88,69332,Chara braunii S276,,aa,"Nishiyama T et al., 2018",,
89,1157962,Chlamydomonas eustigma NIES-2499,,aa,"Hirooka S et al., 2017",,
90,51695,Chlamydomonas incerta SAG 7.73,,aa,"Craig RJ et al., 2021",,
91,3055,Chlamydomonas reinhardtii v5.6,,aa,"Merchant SS et al., 2007",,
92,2026947,Chlamydomonas schloesseri CCAP 11/173,,aa,"Craig RJ et al., 2021",,
93,2041167,Chlorella sp. A99,,aa,"Hamada M et al., 2018",,
94,3076,Chlorella sorokiniana DOE1412,,aa,"Hovde Blake T. et al., 2018",,
95,3076,Chlorella sorokiniana UTEX 1230,,aa,"Hovde Blake T. et al., 2018",,
96,3076,Chlorella sorokiniana UTEX 1602,,aa,"Arriola MB et al., 2018",,
97,3076,Chlorella sorokiniana str. 1228,,aa,"Hovde Blake T. et al., 2018",,
98,554065,Chlorella variabilis NC64A,,aa,"Blanc G et al., 2010",,
99,3144,Chlorokybus atmophyticus CCAC 0220,,aa,"Wang S et al., 2020",,
100,1764295,Chloropicon primus CCMP1205,,aa,"Lemieux C et al., 2019",,
101,2769,Chondrus crispus Stackhouse,,aa,"Collén J et al., 2013",,
102,31302,Chromochloris zofingiensis SAG 211-14,,aa,"Roth MS et al., 2017",,
103,127563,Chrysochromulina parva Lackey,,aa,"Hovde et al., 2019",,
104,1460289,Chrysochromulina tobin CCMP291,,aa,"Hovde et al., 2015",,
105,2562237,Cladocopium goreaui SCF055-01,,aa,"Liu H et al., 2018",,
106,309737,Cladosiphon okamuranus S strain,,aa,"Nishitsuji K et al., 2016",,
107,574566,Coccomyxa subellipsoidea C-169,,aa,"Blanc G et al., 2012",,
108,697907,Cryptophyceae sp. CCMP2293 v1.0,,aa,hold-unpublished,,
109,45157,Cyanidioschyzon merolae Soos,,aa,"Rossoni AW et al., 2019",,
110,280699,Cyanidioschyzon merolae strain 10D,,aa,"Nozaki H et al., 2007",,
