entry_id,accepted,marferret_name,tax_id,pr2_accession,pr2_rank,pr2_taxonomy,data_type,data_source,source_link,pub_year,ref_link,ref_doi,source_filename,seq_type,n_seqs_raw,source_name,original_taxID,alias
1,Y,Minidiscus_spinulatus,2593073,KY912616.1.1647_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus_spinulatus,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-01_Minidiscusspinulatus-Trinity.fasta,nt,65297,Minidiscus spinulatus,NA,NA
2,Y,Minidiscus_variabilis,659878,MN528627.1.1674_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus_variabilis,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.fasta,nt,60715,Minidiscus variabilis,NA,NA
3,Y,Minidiscus_comicus,2590921,MN528601.1.1684_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus_comicus,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.fasta,nt,40455,Minidiscus comicus,NA,NA
4,Y,Thalassiosira_sp_RCC4219,2303173,MH792112.1.1641_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_sp.,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.fasta,nt,44779,Thalassiosira sp.,NA,NA
5,Y,Thalassiosira_minima,340022,FR865522.2.1779_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_minima,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.fasta,nt,47415,Thalassiosira minima,NA,NA
6,Y,Minidiscus_sp_RCC4590,1960173,AB275031.1.1667_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-06_RCC4590-Minidiscussp-Trinity.fasta,nt,65166,Minidiscus sp.,NA,NA
7,Y,Minidiscus_sp_RCC4582,1960170,AB275031.1.1667_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-07_RCC4582-Minidiscussp-Trinity.fasta,nt,59494,Minidiscus sp.,NA,NA
8,Y,Thalassiosira_sp_RCC4606,1960195,JQ955990.1.981_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.fasta,nt,46134,Thalassiosira sp.,NA,NA
9,Y,Thalassiosira_minima,340022,FR865522.2.1779_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_minima,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.fasta,nt,51331,Thalassiosira minima,NA,NA
10,Y,Minidiscus_sp_RCC4584,1960171,AB275031.1.1667_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,ThTSP-10_RCC4584-Minidiscussp-Trinity.fasta,nt,55285,Minidiscus sp.,NA,NA
