candidate_id,accepted,ref_id,marferret_name,tax_id,NCBI_tax_name,original_taxID,source_name,alias,data_source,source_filename,source_reference,source_link,ref_link,ref_doi,n_seqs_raw,status,taxID_notes,FLAG,HCLUST_FLAG,FLAG_Lasek-Nesselquist,FLAG_VanVlierberghe
1,Y,571,Minidiscus_spinulatus,2593073,Minidiscus spinulatus,NA,Minidiscus spinulatus,NA,Zenodo,ThTSP-01_Minidiscusspinulatus-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,65297,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
2,Y,572,Minidiscus_variabilis,659878,Minidiscus variabilis,NA,Minidiscus variabilis,NA,Zenodo,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,60715,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
3,Y,573,Minidiscus_comicus,2590921,Mediolabrus comicus,NA,Minidiscus comicus,NA,Zenodo,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,40455,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
4,Y,574,Thalassiosira_sp_RCC4219,2303173,Thalassiosira sp. RCC4219,NA,Thalassiosira sp.,NA,Zenodo,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,44779,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
5,Y,575,Thalassiosira_minima,340022,Thalassiosira minima,NA,Thalassiosira minima,NA,Zenodo,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,47415,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
6,Y,576,Minidiscus_sp_RCC4590,1960173,Minidiscus sp. RCC4590,NA,Minidiscus sp.,NA,Zenodo,ThTSP-06_RCC4590-Minidiscussp-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,65166,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
7,Y,577,Minidiscus_sp_RCC4582,1960170,Minidiscus sp. RCC4582,NA,Minidiscus sp.,NA,Zenodo,ThTSP-07_RCC4582-Minidiscussp-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,59494,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
8,Y,578,Thalassiosira_sp_RCC4606,1960195,Thalassiosira sp. RCC4606,NA,Thalassiosira sp.,NA,Zenodo,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,46134,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
9,Y,579,Thalassiosira_minima,340022,Thalassiosira minima,NA,Thalassiosira minima,NA,Zenodo,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,51331,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
10,Y,580,Minidiscus_sp_RCC4584,1960171,Minidiscus sp. RCC4584,NA,Minidiscus sp.,NA,Zenodo,ThTSP-10_RCC4584-Minidiscussp-Trinity.fasta,"Guajardo et al., 2021",https://zenodo.org/record/4591037,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,55285,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
