ref_id,marferret_name,tax_id,lineage,candidate_id,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta,source_name,alias,source_reference,source_link,ref_link,ref_doi
1,Porphyridium_aerugineum,2792,rhodophyte,225,TSA,MMETSP,2014,MMETSP0313.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,18738,225_Porphyridium_aerugineum.faa,"Porphyridium aerugineum, Strain SAG 1380-2",MMETSP0313,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
2,Diacronema_lutheri,2081491,haptophyte,226,TSA,MMETSP,2014,MMETSP1463.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,24382,226_Diacronema_lutheri.faa,"Pavlova lutheri, Strain RCC1537",MMETSP1463,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
3,Odontella_aurita,265563,diatom,227,TSA,MMETSP,2014,MMETSP0015.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,71487,227_Odontella_aurita.faa,Odontella aurita isolate 1302-5,MMETSP0015,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
4,Trieres_chinensis,1514140,diatom,228,TSA,MMETSP,2014,MMETSP0160.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,34184,228_Trieres_chinensis.faa,"Odontella Sinensis, Strain Grunow 1884",MMETSP0160,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
5,Skeletonema_costatum,2843,diatom,229,TSA,MMETSP,2014,MMETSP0013.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,39020,229_Skeletonema_costatum.faa,Skeletonema costatum RA080513-05,MMETSP0013,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
6,Cylindrotheca_closterium,2856,diatom,230,TSA,MMETSP,2014,MMETSP0017.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,50848,230_Cylindrotheca_closterium.faa,Cylindrotheca closterium KMMCC:B-181,MMETSP0017,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
7,Nitszchia_sp_RCC80,1606575,diatom,231,TSA,MMETSP,2014,MMETSP0014.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,67212,231_Nitszchia_sp_RCC80.faa,Nitszchia sp. ROS97004,MMETSP0014,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
8,Crypthecodinium_cohnii,2866,dinoflagellate,232,TSA,MMETSP,2014,MMETSP0323.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,22008,232_Crypthecodinium_cohnii.faa,"Crypthecodinium cohnii, Strain Seligo",MMETSP0323,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
9,Crypthecodinium_cohnii,2866,dinoflagellate,233,TSA,MMETSP,2014,MMETSP0324.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,75768,233_Crypthecodinium_cohnii.faa,"Crypthecodinium cohnii, Strain Seligo",MMETSP0324,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
10,Crypthecodinium_cohnii,2866,dinoflagellate,234,TSA,MMETSP,2014,MMETSP0325.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,76238,234_Crypthecodinium_cohnii.faa,"Crypthecodinium cohnii, Strain Seligo",MMETSP0325,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
