candidate_id,ref_id,marferret_name,tax_id,lineage,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta
1,571,Minidiscus_spinulatus,2593073,diatom,TSA,Zenodo,2021,ThTSP-01_Minidiscusspinulatus-Trinity.fasta,nt,65297,1_Minidiscus_spinulatus.faa
2,572,Minidiscus_variabilis,659878,diatom,TSA,Zenodo,2021,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.fasta,nt,60715,2_Minidiscus_variabilis.faa
3,573,Minidiscus_comicus,2590921,diatom,TSA,Zenodo,2021,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.fasta,nt,40455,3_Minidiscus_comicus.faa
4,574,Thalassiosira_sp_RCC4219,2303173,diatom,TSA,Zenodo,2021,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.fasta,nt,44779,4_Thalassiosira_sp_RCC4219.faa
5,575,Thalassiosira_minima,340022,diatom,TSA,Zenodo,2021,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.fasta,nt,47415,5_Thalassiosira_minima.faa
6,576,Minidiscus_sp_RCC4590,1960173,diatom,TSA,Zenodo,2021,ThTSP-06_RCC4590-Minidiscussp-Trinity.fasta,nt,65166,6_Minidiscus_sp_RCC4590.faa
7,577,Minidiscus_sp_RCC4582,1960170,diatom,TSA,Zenodo,2021,ThTSP-07_RCC4582-Minidiscussp-Trinity.fasta,nt,59494,7_Minidiscus_sp_RCC4582.faa
8,578,Thalassiosira_sp_RCC4606,1960195,diatom,TSA,Zenodo,2021,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.fasta,nt,46134,8_Thalassiosira_sp_RCC4606.faa
9,579,Thalassiosira_minima,340022,diatom,TSA,Zenodo,2021,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.fasta,nt,51331,9_Thalassiosira_minima.faa
10,580,Minidiscus_sp_RCC4584,1960171,diatom,TSA,Zenodo,2021,ThTSP-10_RCC4584-Minidiscussp-Trinity.fasta,nt,55285,10_Minidiscus_sp_RCC4584.faa
11,581,Stramenopiles_sp_TOSAG41-2,1735746,stramenopile,SAG,TARA,2018,m3a.faa,aa,3289,11_Stramenopiles_sp_TOSAG41-2.faa
12,582,Stramenopiles_sp_TOSAG23-6,1735747,stramenopile,SAG,TARA,2018,m3f.faa,aa,2694,12_Stramenopiles_sp_TOSAG23-6.faa
13,583,Stramenopiles_sp_TOSAG23-1,1735742,stramenopile,SAG,TARA,2018,m4a1.faa,aa,8018,13_Stramenopiles_sp_TOSAG23-1.faa
14,584,Stramenopiles_sp_TOSAG23-2,1735743,stramenopile,SAG,TARA,2018,m4a2.faa,aa,8537,14_Stramenopiles_sp_TOSAG23-2.faa
15,585,Stramenopiles_sp_TOSAG41-1,1735744,stramenopile,SAG,TARA,2018,m4c.faa,aa,5478,15_Stramenopiles_sp_TOSAG41-1.faa
16,586,Stramenopiles_sp_TOSAG23-3,1735745,stramenopile,SAG,TARA,2018,m4e.faa,aa,4652,16_Stramenopiles_sp_TOSAG23-3.faa
17,587,Chrysophyceae_sp_TOSAG23-4,1735748,stramenopile,SAG,TARA,2018,chryh1.faa,aa,3050,17_Chrysophyceae_sp_TOSAG23-4.faa
