ref_id,marferret_name,tax_id,lineage.v1,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta,n_seqs_aa,Pfam34_raw_file,source_name,addnl_id,source_reference,source_link,source_filename
1,Minidiscus_spinulatus,2593073,diatom,TSA,Zenodo,2021,ThTSP-01_Minidiscusspinulatus-Trinity.fasta,nt,65297,ThTSP-01_Minidiscusspinulatus-Trinity.6tr.bf1.fasta,391782,ThTSP-01_Minidiscusspinulatus-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus spinulatus,,Guajardo 2021,https://zenodo.org/record/4591037,
2,Minidiscus_variabilis,659878,diatom,TSA,Zenodo,2021,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.fasta,nt,60715,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.6tr.bf1.fasta,364290,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus variabilis,,Guajardo 2021,https://zenodo.org/record/4591037,
3,Minidiscus_comicus,2590921,diatom,TSA,Zenodo,2021,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.fasta,nt,40455,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.6tr.bf1.fasta,242730,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus comicus,,Guajardo 2021,https://zenodo.org/record/4591037,
4,Thalassiosira_sp_RCC4219,2303173,diatom,TSA,Zenodo,2021,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.fasta,nt,44779,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.6tr.bf1.fasta,268674,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.6tr.PFAM34.0.domtblout.tab,Thalassiosira sp.,,Guajardo 2021,https://zenodo.org/record/4591037,
5,Thalassiosira_minima,340022,diatom,TSA,Zenodo,2021,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.fasta,nt,47415,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.6tr.bf1.fasta,284490,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.6tr.PFAM34.0.domtblout.tab,Thalassiosira minima,,Guajardo 2021,https://zenodo.org/record/4591037,
6,Minidiscus_sp_RCC4590,1960173,diatom,TSA,Zenodo,2021,ThTSP-06_RCC4590-Minidiscussp-Trinity.fasta,nt,65166,ThTSP-06_RCC4590-Minidiscussp-Trinity.6tr.bf1.fasta,390996,ThTSP-06_RCC4590-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus sp.,,Guajardo 2021,https://zenodo.org/record/4591037,
7,Minidiscus_sp_RCC4582,1960170,diatom,TSA,Zenodo,2021,ThTSP-07_RCC4582-Minidiscussp-Trinity.fasta,nt,59494,ThTSP-07_RCC4582-Minidiscussp-Trinity.6tr.bf1.fasta,356964,ThTSP-07_RCC4582-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus sp.,,Guajardo 2021,https://zenodo.org/record/4591037,
8,Thalassiosira_sp_RCC4606,1960195,diatom,TSA,Zenodo,2021,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.fasta,nt,46134,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.6tr.bf1.fasta,276804,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.6tr.PFAM34.0.domtblout.tab,Thalassiosira sp.,,Guajardo 2021,https://zenodo.org/record/4591037,
9,Thalassiosira_minima,340022,diatom,TSA,Zenodo,2021,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.fasta,nt,51331,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.6tr.bf1.fasta,307986,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.6tr.PFAM34.0.domtblout.tab,Thalassiosira minima,,Guajardo 2021,https://zenodo.org/record/4591037,
10,Minidiscus_sp_RCC4584,1960171,diatom,TSA,Zenodo,2021,ThTSP-10_RCC4584-Minidiscussp-Trinity.fasta,nt,55285,ThTSP-10_RCC4584-Minidiscussp-Trinity.6tr.bf1.fasta,331710,ThTSP-10_RCC4584-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab,Minidiscus sp.,,Guajardo 2021,https://zenodo.org/record/4591037,
11,Stramenopiles_sp_TOSAG41-2,1735746,stramenopile,SAG,TARA,2018,m3a.faa.gz,aa,3289,m3a.faa,3289,m3a.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG41-2,Stramenopiles sp. TOSAG41-2,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
12,Stramenopiles_sp_TOSAG23-6,1735747,stramenopile,SAG,TARA,2018,m3f.faa.gz,aa,2694,m3f.faa,2694,m3f.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG23-6,Stramenopiles sp. TOSAG23-6,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
13,Stramenopiles_sp_TOSAG23-1,1735742,stramenopile,SAG,TARA,2018,m4a1.faa.gz,aa,8018,m4a1.faa,8018,m4a1.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG23-1,Stramenopiles sp. TOSAG23-1,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
14,Stramenopiles_sp_TOSAG23-2,1735743,stramenopile,SAG,TARA,2018,m4a2.faa.gz,aa,8537,m4a2.faa,8537,m4a2.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG23-2,Stramenopiles sp. TOSAG23-2,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
15,Stramenopiles_sp_TOSAG41-1,1735744,stramenopile,SAG,TARA,2018,m4c.faa.gz,aa,5478,m4c.faa,5478,m4c.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG41-1,Stramenopiles sp. TOSAG41-1,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
16,Stramenopiles_sp_TOSAG23-3,1735745,stramenopile,SAG,TARA,2018,m4e.faa.gz,aa,4652,m4e.faa,4652,m4e.PFAM34.0.domtblout.tab,Stramenopiles sp. TOSAG23-3,Stramenopiles sp. TOSAG23-3,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
17,Chrysophyceae_sp_TOSAG23-4,1735748,stramenopile,SAG,TARA,2018,chryh1.faa.gz,aa,3050,chryh1.faa,3050,chryh1.PFAM34.0.domtblout.tab,Chrysophyceae sp. TOSAG23-4,Chrysophyceae sp. TOSAG23-4,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
18,Chrysophyceae_sp_TOSAG23-5,1735749,stramenopile,SAG,TARA,2018,chryh2.faa.gz,aa,1637,chryh2.faa,1637,chryh2.PFAM34.0.domtblout.tab,Chrysophyceae sp. TOSAG23-5,Chrysophyceae sp. TOSAG23-5,Seeleuthner 2018,http://www.genoscope.cns.fr/tara/,
19,Calanus_finmarchicus,6837,metazoa,TSA,NCBI,2014,Calanus_finmarchicus.PRJNA236528.fa.fasta,nt,206012,Calanus_finmarchicus.PRJNA236528.6tr.bf1.fasta,1236072,Calanus_finmarchicus.PRJNA236528.PFAM34.0.domtblout.tab,Calanus finmarchicus,PRJNA236528,"Lenz et al., 2014",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA236528,
20,Calanus_glacialis,113644,metazoa,TSA,NCBI,2015,Calanus_glacialis.PRJNA237014.fasta,nt,36880,Calanus_glacialis.PRJNA237014.6tr.bf1.fasta,221280,Calanus_glacialis.PRJNA237014.PFAM34.0.domtblout.tab,Calanus glacialis,PRJNA237014,"Smolina et al., 2015",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237014,
21,Neocalanus_flemingeri,119369,metazoa,TSA,NCBI,2018,GFUD01.1.fsa_nt.fasta,nt,140535,GFUD01.6tr.bf1.fasta,843210,GFUD01.PFAM34.0.domtblout.tab,Neocalanus flemingeri,GFUD00000000,"Roncalli et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFUD00000000/,
22,Acartia_tonsa,136180,metazoa,TSA,NCBI,2017,GFWY01.1.fsa_nt.gz,nt,60662,GFWY01.6tr.bf1.fasta,363972,GFWY01.PFAM34.0.domtblout.tab,Acartia tonsa,GFWY00000000,"via Maas 2018 (Nilsson et al., unpublished 2017)",https://www.ncbi.nlm.nih.gov/nuccore/GFWY00000000/,
23,Eurytemora_affinis,88015,metazoa,TSA,NCBI,2016,GEAN01.1.fsa_nt.gz,nt,107445,GEAN01.6tr.bf1.fasta,644670,GEAN01.PFAM34.0.domtblout.tab,Eurytemora affinis,GEAN00000000,"via Maas 2018 (Munro et al., unpublished 2016)",https://www.ncbi.nlm.nih.gov/nuccore/GEAN00000000/,
24,Labidocera_madurae,1501138,metazoa,TSA,NCBI,2017,GFWO01.1.fsa_nt.gz,nt,210768,GFWO01.6tr.bf1.fasta,1264608,GFWO01.PFAM34.0.domtblout.tab,Labidocera madurae,GFWO00000000,"Roncalli et al., 2017",https://www.ncbi.nlm.nih.gov/nuccore/GFWO00000000/,
25,Tigriopus_californicus,6832,metazoa,TSA,NCBI,2015,GBSZ01.1.fsa_nt.gz,nt,12067,GBSZ01.6tr.bf1.fasta,72402,GBSZ01.PFAM34.0.domtblout.tab,Tigriopus californicus,GBSZ00000000,"Barreto et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GBSZ00000000/,
26,Tigriopus_kingsejongensis,1133412,metazoa,TSA,NCBI,2015,GDFW01.1.fsa_nt.gz,nt,38250,GDFW01.6tr.bf1.fasta,229500,GDFW01.PFAM34.0.domtblout.tab,Tigriopus kingsejongensis,GDFW01000000,"via Maas 2018 (Lee, unpublished 2015)",https://www.ncbi.nlm.nih.gov/nuccore/GDFW01000000/,
27,Tigriopus_japonicus,158387,metazoa,TSA,NCBI,2015,GCHA01.1.fsa_nt.gz,nt,54758,GCHA01.6tr.bf1.fasta,328548,GCHA01.PFAM34.0.domtblout.tab,Tigriopus japonicus,GCHA00000000,"Kim et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCHA00000000/,
28,Paracyclopina_nana,565004,metazoa,TSA,NCBI,2015,GCJT01.1.fsa_nt.gz,nt,60687,GCJT01.6tr.bf1.fasta,364122,GCJT01.PFAM34.0.domtblout.tab,Paracyclopina nana,GCJT01000000,"Lee et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCJT01000000/,
29,Eucyclops_serrulatus,84317,metazoa,TSA,NCBI,2014,GARW01.1.fsa_nt.gz,nt,51528,GARW01.6tr.bf1.fasta,309168,GARW01.PFAM34.0.domtblout.tab,Eucyclops serrulatus,GARW01000000,"via Maas 2018 (Cattonaro, unpublished 2014)",https://www.ncbi.nlm.nih.gov/nuccore/GARW01000000/,
30,Lepeophtheirus_salmonis,72036,metazoa,TSA,NCBI,2015,HACA01P.1.fsa_aa.gz,aa,33918,HACA01P.1.fsa_aa,33918,HACA01P.PFAM34.0.domtblout.tab,Lepeophtheirus salmonis,HACA00000000,"via Maas 2018 (Carmichael, unpublished 2015)",https://www.ncbi.nlm.nih.gov/nuccore/HACA00000000/,
