ref_id,tax_id,source_filename,seq_type,n_seqs_raw,aa_fasta,n_seqs_aa,Pfam34_raw_file
1,2593073,ThTSP-01_Minidiscusspinulatus-Trinity.fasta,nt,65297,ThTSP-01_Minidiscusspinulatus-Trinity.6tr.bf1.fasta,391782,ThTSP-01_Minidiscusspinulatus-Trinity.6tr.PFAM34.0.domtblout.tab
2,659878,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.fasta,nt,60715,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.6tr.bf1.fasta,364290,ThTSP-02_RCC4665-Minidiscusvariabilis-Trinity.6tr.PFAM34.0.domtblout.tab
3,2590921,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.fasta,nt,40455,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.6tr.bf1.fasta,242730,ThTSP-03_RCC4660-Minidiscuscomicus-Trinity.6tr.PFAM34.0.domtblout.tab
4,2303173,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.fasta,nt,44779,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.6tr.bf1.fasta,268674,ThTSP-04_RCC4219-Thalassiosirasp-Trinity.6tr.PFAM34.0.domtblout.tab
5,340022,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.fasta,nt,47415,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.6tr.bf1.fasta,284490,ThTSP-05_RCC4593-Thalassiosiraminima-Trinity.6tr.PFAM34.0.domtblout.tab
6,1960173,ThTSP-06_RCC4590-Minidiscussp-Trinity.fasta,nt,65166,ThTSP-06_RCC4590-Minidiscussp-Trinity.6tr.bf1.fasta,390996,ThTSP-06_RCC4590-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab
7,1960170,ThTSP-07_RCC4582-Minidiscussp-Trinity.fasta,nt,59494,ThTSP-07_RCC4582-Minidiscussp-Trinity.6tr.bf1.fasta,356964,ThTSP-07_RCC4582-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab
8,1960195,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.fasta,nt,46134,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.6tr.bf1.fasta,276804,ThTSP-08_RCC4606-Thalassiosirasp-Trinity.6tr.PFAM34.0.domtblout.tab
9,340022,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.fasta,nt,51331,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.6tr.bf1.fasta,307986,ThTSP-09_RCC4583-Thalassiosiraminima-Trinity.6tr.PFAM34.0.domtblout.tab
10,1960171,ThTSP-10_RCC4584-Minidiscussp-Trinity.fasta,nt,55285,ThTSP-10_RCC4584-Minidiscussp-Trinity.6tr.bf1.fasta,331710,ThTSP-10_RCC4584-Minidiscussp-Trinity.6tr.PFAM34.0.domtblout.tab
11,1735746,m3a.faa.gz,aa,3289,m3a.faa,3289,m3a.PFAM34.0.domtblout.tab
12,1735747,m3f.faa.gz,aa,2694,m3f.faa,2694,m3f.PFAM34.0.domtblout.tab
13,1735742,m4a1.faa.gz,aa,8018,m4a1.faa,8018,m4a1.PFAM34.0.domtblout.tab
14,1735743,m4a2.faa.gz,aa,8537,m4a2.faa,8537,m4a2.PFAM34.0.domtblout.tab
15,1735744,m4c.faa.gz,aa,5478,m4c.faa,5478,m4c.PFAM34.0.domtblout.tab
16,1735745,m4e.faa.gz,aa,4652,m4e.faa,4652,m4e.PFAM34.0.domtblout.tab
17,1735748,chryh1.faa.gz,aa,3050,chryh1.faa,3050,chryh1.PFAM34.0.domtblout.tab
18,1735749,chryh2.faa.gz,aa,1637,chryh2.faa,1637,chryh2.PFAM34.0.domtblout.tab
19,6837,Calanus_finmarchicus.PRJNA236528.fa.fasta,nt,206012,Calanus_finmarchicus.PRJNA236528.6tr.bf1.fasta,1236072,Calanus_finmarchicus.PRJNA236528.PFAM34.0.domtblout.tab
20,113644,Calanus_glacialis.PRJNA237014.fasta,nt,36880,Calanus_glacialis.PRJNA237014.6tr.bf1.fasta,221280,Calanus_glacialis.PRJNA237014.PFAM34.0.domtblout.tab
21,119369,GFUD01.1.fsa_nt.fasta,nt,140535,GFUD01.6tr.bf1.fasta,843210,GFUD01.PFAM34.0.domtblout.tab
22,136180,GFWY01.1.fsa_nt.gz,nt,60662,GFWY01.6tr.bf1.fasta,363972,GFWY01.PFAM34.0.domtblout.tab
23,88015,GEAN01.1.fsa_nt.gz,nt,107445,GEAN01.6tr.bf1.fasta,644670,GEAN01.PFAM34.0.domtblout.tab
