lineage,n_taxa,pfam_id,frequency
Dinophyceae,47,PF00004.31,1.0
Dinophyceae,47,PF00005.29,1.0
Dinophyceae,47,PF00006.27,1.0
Dinophyceae,47,PF00009.29,1.0
Dinophyceae,47,PF00012.22,1.0
Dinophyceae,47,PF00013.31,1.0
Dinophyceae,46,PF00018.30,0.9787234042553191
Dinophyceae,47,PF00022.21,1.0
Dinophyceae,47,PF00023.32,1.0
Dinophyceae,46,PF00024.28,0.9787234042553191
Dinophyceae,47,PF00025.23,1.0
Dinophyceae,47,PF00026.25,1.0
Dinophyceae,47,PF00027.31,1.0
Dinophyceae,45,PF00033.21,0.9574468085106383
Dinophyceae,46,PF00034.23,0.9787234042553191
Dinophyceae,46,PF00035.28,0.9787234042553191
Dinophyceae,47,PF00036.34,1.0
Dinophyceae,46,PF00041.23,0.9787234042553191
Dinophyceae,45,PF00043.27,0.9574468085106383
Dinophyceae,46,PF00044.26,0.9787234042553191
Dinophyceae,46,PF00056.25,0.9787234042553191
Dinophyceae,46,PF00059.23,0.9787234042553191
Dinophyceae,46,PF00063.23,0.9787234042553191
Dinophyceae,46,PF00067.24,0.9787234042553191
Dinophyceae,47,PF00069.27,1.0
Dinophyceae,47,PF00071.24,1.0
Dinophyceae,47,PF00076.24,1.0
Dinophyceae,45,PF00082.24,0.9574468085106383
Dinophyceae,47,PF00083.26,1.0
Dinophyceae,47,PF00085.22,1.0
Dinophyceae,45,PF00090.21,0.9574468085106383
Dinophyceae,47,PF00091.27,1.0
Dinophyceae,47,PF00092.30,1.0
Dinophyceae,47,PF00097.27,1.0
Dinophyceae,47,PF00098.25,1.0
Dinophyceae,45,PF00102.29,0.9574468085106383
Dinophyceae,47,PF00106.27,1.0
Dinophyceae,47,PF00107.28,1.0
Dinophyceae,46,PF00108.25,0.9787234042553191
Dinophyceae,46,PF00109.28,0.9787234042553191
Dinophyceae,47,PF00111.29,1.0
Dinophyceae,47,PF00112.25,1.0
Dinophyceae,46,PF00113.24,0.9787234042553191
Dinophyceae,46,PF00115.22,0.9787234042553191
Dinophyceae,46,PF00116.22,0.9787234042553191
Dinophyceae,46,PF00117.30,0.9787234042553191
Dinophyceae,47,PF00118.26,1.0
Dinophyceae,47,PF00120.26,1.0
Dinophyceae,46,PF00121.20,0.9787234042553191
Dinophyceae,47,PF00122.22,1.0
Dinophyceae,47,PF00125.26,1.0
Dinophyceae,46,PF00134.25,0.9787234042553191
Dinophyceae,46,PF00135.30,0.9787234042553191
Dinophyceae,46,PF00137.23,0.9787234042553191
Dinophyceae,47,PF00141.25,1.0
Dinophyceae,47,PF00144.26,1.0
Dinophyceae,46,PF00145.19,0.9787234042553191
Dinophyceae,47,PF00149.30,1.0
Dinophyceae,47,PF00150.20,1.0
Dinophyceae,46,PF00152.22,0.9787234042553191
Dinophyceae,47,PF00153.29,1.0
Dinophyceae,47,PF00155.23,1.0
Dinophyceae,47,PF00156.29,1.0
Dinophyceae,47,PF00160.23,1.0
Dinophyceae,45,PF00162.21,0.9574468085106383
Dinophyceae,45,PF00164.27,0.9574468085106383
Dinophyceae,47,PF00168.32,1.0
Dinophyceae,47,PF00169.31,1.0
Dinophyceae,47,PF00171.24,1.0
Dinophyceae,47,PF00173.30,1.0
Dinophyceae,47,PF00174.21,1.0
Dinophyceae,47,PF00175.23,1.0
Dinophyceae,45,PF00177.23,0.9574468085106383
Dinophyceae,47,PF00179.28,1.0
Dinophyceae,47,PF00180.22,1.0
Dinophyceae,47,PF00183.20,1.0
Dinophyceae,46,PF00188.28,0.9787234042553191
Dinophyceae,45,PF00189.22,0.9574468085106383
Dinophyceae,46,PF00198.25,0.9787234042553191
Dinophyceae,46,PF00201.20,0.9787234042553191
Dinophyceae,47,PF00202.23,1.0
Dinophyceae,45,PF00208.23,0.9574468085106383
Dinophyceae,46,PF00211.22,0.9787234042553191
Dinophyceae,45,PF00213.20,0.9574468085106383
Dinophyceae,46,PF00216.23,0.9787234042553191
Dinophyceae,45,PF00217.21,0.9574468085106383
Dinophyceae,46,PF00224.23,0.9787234042553191
Dinophyceae,47,PF00225.25,1.0
Dinophyceae,47,PF00226.33,1.0
Dinophyceae,47,PF00227.28,1.0
Dinophyceae,47,PF00230.22,1.0
Dinophyceae,46,PF00231.21,0.9787234042553191
Dinophyceae,46,PF00232.20,0.9787234042553191
Dinophyceae,46,PF00233.21,0.9787234042553191
Dinophyceae,47,PF00235.21,1.0
Dinophyceae,46,PF00237.21,0.9787234042553191
Dinophyceae,47,PF00240.25,1.0
Dinophyceae,46,PF00241.22,0.9787234042553191
Dinophyceae,47,PF00244.22,1.0
Dinophyceae,46,PF00246.26,0.9787234042553191
Dinophyceae,47,PF00248.23,1.0
Dinophyceae,45,PF00249.33,0.9574468085106383
Dinophyceae,46,PF00252.20,0.9787234042553191
Dinophyceae,46,PF00254.30,0.9787234042553191
Dinophyceae,45,PF00255.21,0.9574468085106383
Dinophyceae,45,PF00258.27,0.9574468085106383
Dinophyceae,46,PF00262.20,0.9787234042553191
